SRC_IP,DST_IP,SRC_PORT,DST_PORT,PROTOCOL,TOS,TIMESTAMP_START,TIMESTAMP_END,PACKETS,BYTES
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:33:13.663089,2022-02-08 15:33:13.663089,1,522
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:33:13.663089,2022-02-08 15:33:13.663089,1,542
fe80::f84d:89ff:fe09:264,ff02::1,0,34304,ipv6-icmp,0,2022-02-08 15:33:32.041053,2022-02-08 15:33:32.041053,1,128
fe80::6c16:86ff:fe17:3d8e,ff02::16,0,36608,ipv6-icmp,0,2022-02-08 15:33:32.051505,2022-02-08 15:33:32.051505,1,96
fe80::6c16:86ff:fe17:3d8e,ff02::16,0,36608,ipv6-icmp,0,2022-02-08 15:33:32.672784,2022-02-08 15:33:32.672784,1,96
fe80::f84d:89ff:fe09:264,ff02::1,0,34304,ipv6-icmp,0,2022-02-08 15:34:47.082069,2022-02-08 15:34:47.082069,1,128
fe80::6c16:86ff:fe17:3d8e,ff02::16,0,36608,ipv6-icmp,0,2022-02-08 15:34:47.095365,2022-02-08 15:34:47.095365,1,96
fe80::6c16:86ff:fe17:3d8e,ff02::16,0,36608,ipv6-icmp,0,2022-02-08 15:34:47.267480,2022-02-08 15:34:47.267480,1,96
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:31.801444,2022-02-08 15:35:31.801444,1,138
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:31.802921,2022-02-08 15:35:31.802921,1,158
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:33.003542,2022-02-08 15:35:33.003542,1,138
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:33.003543,2022-02-08 15:35:33.003543,1,158
192.168.64.1,192.168.64.255,137,137,udp,0,2022-02-08 15:35:33.967654,2022-02-08 15:35:33.967654,1,96
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:38.994799,2022-02-08 15:35:38.994799,1,290
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:38.994800,2022-02-08 15:35:38.994800,1,310
192.168.64.3,91.189.94.4,38582,123,udp,16,2022-02-08 15:35:39.776212,2022-02-08 15:35:39.776212,1,76
91.189.94.4,192.168.64.3,123,38582,udp,24,2022-02-08 15:35:39.914961,2022-02-08 15:35:39.914961,1,76
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:41.134879,2022-02-08 15:35:41.134879,1,645
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:41.134879,2022-02-08 15:35:41.134879,1,665
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:41.135383,2022-02-08 15:35:41.135383,1,415
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:41.135384,2022-02-08 15:35:41.135384,1,435
192.168.64.1,192.168.64.255,137,137,udp,0,2022-02-08 15:35:41.194001,2022-02-08 15:35:41.194001,2,174
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:41.408620,2022-02-08 15:35:41.408620,1,286
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:41.408620,2022-02-08 15:35:41.408620,1,306
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:41.638921,2022-02-08 15:35:41.638921,1,171
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:41.638921,2022-02-08 15:35:41.638921,1,191
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:41.738796,2022-02-08 15:35:41.738796,1,286
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:41.738797,2022-02-08 15:35:41.738797,1,306
192.168.64.1,224.0.0.251,5353,5353,udp,0,2022-02-08 15:35:41.888549,2022-02-08 15:35:41.888549,1,171
fe80::f84d:89ff:fe09:264,ff02::fb,5353,5353,udp,0,2022-02-08 15:35:41.888550,2022-02-08 15:35:41.888550,1,191
